Here's a full description column, written concise and consistent in style, matching the format of the client's doc so you can paste it straight back in.

## experiment_metadata

| Sl.no | Column | Description |
|---|---|---|
| 1 | experiment_name | Human-readable title of the experiment, as it appears on the wrap-up deck cover slide (e.g., "Apple Bundle – Saving Messaging"). |
| 2 | experiment_id | Unique identifier for the experiment. Auto-generated by Optimizely for pipeline-extracted experiments; a distinct ID scheme is used for manually entered experiments. |
| 3 | hypothesis | The stated prediction being tested — what change is expected to produce what outcome, and why (e.g., "Expanding savings messaging... will increase bundle CVR because..."). |
| 4 | problem_statement | The underlying business problem or opportunity that motivated running the experiment. |
| 5 | description | Free-text summary of what the experiment does or tests, beyond the hypothesis (e.g., what is being changed on the page/app). |
| 6 | variant_type | Structural role of a given arm of the experiment — `control`, `variant_1`, `variant_2`, etc. Used to distinguish the baseline from treatment arms. |
| 7 | variant_description | Short description of what makes this specific variant different from control (e.g., "Save over 30% on Apple TV and Peacock" messaging in hero). |
| 8 | variant_asset | Reference to the visual asset (screenshot/mockup) representing this variant, as shown in the deck. Stored as a path/URI to the image, not the image itself. |
| 9 | traffic_splits_control | Proportion or count of total experiment traffic allocated to the control arm. |
| 10 | traffic_splits_variant_X | Proportion or count of total experiment traffic allocated to a given variant arm. |
| 11 | traffic_allocation | Overall percentage of eligible users included in the experiment (as opposed to held out entirely). |
| 12 | exposure_event | The action or condition that qualifies a user as having been exposed to the experiment (e.g., "landed on Apple Bundle LP"). |
| 13 | user_segment | The population the experiment targeted or excluded (e.g., device types, subscription status, "all devices except tvOS"). |
| 14 | start_date | Date the experiment began running. |
| 15 | end_date | Date the experiment stopped running. |
| 16 | days_run | Total duration of the experiment in days. |
| 17 | metric_name | Name of a specific metric tracked for this experiment (e.g., "Overall NPC CVR," "Create an Account CTR"). |
| 18 | metric_type | Category of the metric — e.g., `goal`, `driver`, `performance`, or `diagnostic` — indicating its role and how it should be weighted in interpreting results. |
| 19 | metric_definition | Precise definition of how the metric is calculated, including the timeframe or scope it covers. |
| 20 | metric_interpretation | Analyst's plain-language read of what the metric result means for this experiment (e.g., "stat sig increase..."). |

## experiment_results

| Sl.no | Column | Description |
|---|---|---|
| 21 | control_performance | Observed value of the metric for the control arm. |
| 22 | variant_X_performance | Observed value of the metric for a given variant arm. |
| 23 | relative_lift | Percentage lift of a variant's metric value relative to control. |
| 24 | absolute_delta | Absolute (non-percentage) difference between a variant's metric value and control's. |
| 25 | CI_lb | Lower bound of the confidence interval for the observed lift. |
| 26 | CI_up | Upper bound of the confidence interval for the observed lift. |
| 27 | stats_method | Statistical test used to evaluate significance (e.g., t-test). |
| 28 | statistical_power | Statistical power of the test at the time of reporting — the likelihood of detecting a true effect if one exists. |
| 29 | segment_name | Label for a specific ad hoc population cut analyzed outside the standard metric set (e.g., "CRO," "Non-CRO," "iOS Mobile"). |
| 30 | relative_lift *(adhoc)* | Percentage lift of a variant's metric value relative to control, computed specifically within this ad hoc segment. |
| 31 | absolute_delta *(adhoc)* | Absolute difference between variant and control metric values, within this ad hoc segment. |
| 32 | CI_lb *(adhoc)* | Lower bound of the confidence interval for the ad hoc segment's lift. |
| 33 | CI_up *(adhoc)* | Upper bound of the confidence interval for the ad hoc segment's lift. |
| 34 | stats_method *(adhoc)* | Statistical test used for this ad hoc segment's analysis. |
| 35 | statistical_power *(adhoc)* | Statistical power of the test for this ad hoc segment. |
| 36 | sample_size_control | Number of control-arm users included in this ad hoc segment. |
| 37 | sample_size_variant_X | Number of variant-arm users included in this ad hoc segment. |
| 38 | interpretation *(adhoc)* | Analyst's plain-language read of what this ad hoc segment's result means. |
| 39 | result_summary | Top-line narrative summary of the experiment's overall outcome, independent of any single metric. |
| 40 | rollout_policy_decision | Whether the tested change was approved to roll out (yes/no). |
| 41 | rollout_policy_rationale | Reasoning behind the rollout decision (e.g., "Primary KPI improved significantly"). |
| 42 | rollout_policy_scope | The scope to which the rollout applies, if approved (e.g., "desktop and mobile web checkout"). |
| 43 | risks | Known limitations or caveats that qualify how much confidence should be placed in the results (e.g., underpowered segments, seasonality overlap). |

## Provenance

| Sl.no | Column | Description |
|---|---|---|
| 44 | proposition | The product/platform the experiment belongs to (e.g., Peacock, NOW/WOW, SST). |
| 45 | jira_id | Reference ID linking the experiment to its corresponding Jira ticket or intake-system record. |
| 46 | primary_source | The format of the source document the experiment data was extracted from (e.g., "pptx"). |

A few notes while writing these:

- **#40 `rollout_policy_decision`**: I described it as yes/no per the client's intent, but flagging again — the doc's sample value shows it nested as `"decision": 1` inside a JSON object alongside rationale/scope, while `Value Data Type` says `BINARY`. Worth confirming with the client whether they actually want three separate flat columns (`decision`, `rationale`, `scope`) as this table structure implies, or one combined field, since the two representations aren't consistent in their own documentation.
- **#44–46 `Provenance`**: these three have `Availability: No` in the doc — meaning the client isn't currently supplying them. Worth double-checking whether "No" means "not available in the source deck" (so you'd need to derive/backfill it) or "not needed in this table" (so you could drop them) before finalizing.
- I didn't see `team` or `experiment_status` anywhere in either image — same gap I flagged earlier. Still worth confirming with the client whether those fields exist elsewhere in their documentation or were dropped from this particular table.
