dag_id,dag_run_date,rca_report,agent_version
customer_360_pipeline,2026-05-12,"## Root Cause Analysis — `customer_360_pipeline`
**DAG run date:** 2026-05-12  |  **Failing task:** `ingest_web_events`  |  **Generated by:** dataops-assistant v0

### Summary
The `customer_360_pipeline` run failed at task `ingest_web_events`. A sensor timed out waiting for an upstream dataset partition that never landed, blocking all downstream work.

### Detected failure signals
`UpstreamFailedException`, `Sensor timeout`, `Dependency partition not found`

### Root cause
The terminal attempt surfaced **UpstreamFailedException**. A sensor timed out waiting for an upstream dataset partition that never landed, blocking all downstream work. Downstream tasks were skipped once `ingest_web_events` exhausted its retries.

### Historical context
`customer_360_pipeline` has failed **0** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `ingest_web_events` and confirm the UpstreamFailedException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `ingest_web_events` to alert on early signs of `UpstreamFailedException`.
",v0
inventory_sync,2026-05-13,"## Root Cause Analysis — `inventory_sync`
**DAG run date:** 2026-05-13  |  **Failing task:** `reconcile_stock`  |  **Generated by:** dataops-assistant v0

### Summary
The `inventory_sync` run failed at task `reconcile_stock`. Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect.

### Detected failure signals
`SQLTransientConnectionException`, `Connection timed out`, `Read timed out`

### Root cause
The terminal attempt surfaced **SQLTransientConnectionException**. Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect. Downstream tasks were skipped once `reconcile_stock` exhausted its retries.

### Historical context
`inventory_sync` has failed **0** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `reconcile_stock` and confirm the SQLTransientConnectionException signal.
2. Re-run the DAG — transient infrastructure cause likely cleared.
3. Add/adjust monitoring on `reconcile_stock` to alert on early signs of `SQLTransientConnectionException`.
",v0
revenue_reporting,2026-05-13,"## Root Cause Analysis — `revenue_reporting`
**DAG run date:** 2026-05-13  |  **Failing task:** `build_dashboards_tbl`  |  **Generated by:** dataops-assistant v0

### Summary
The `revenue_reporting` run failed at task `build_dashboards_tbl`. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.

### Detected failure signals
`FileNotFoundException`, `Path does not exist`, `0 records read from source`

### Root cause
The terminal attempt surfaced **FileNotFoundException**. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records. Downstream tasks were skipped once `build_dashboards_tbl` exhausted its retries.

### Historical context
`revenue_reporting` has failed **0** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `build_dashboards_tbl` and confirm the FileNotFoundException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `build_dashboards_tbl` to alert on early signs of `FileNotFoundException`.
",v0
user_segmentation,2026-05-14,"## Root Cause Analysis — `user_segmentation`
**DAG run date:** 2026-05-14  |  **Failing task:** `compute_rfm`  |  **Generated by:** dataops-assistant v0

### Summary
The `user_segmentation` run failed at task `compute_rfm`. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.

### Detected failure signals
`FileNotFoundException`, `Path does not exist`, `0 records read from source`

### Root cause
The terminal attempt surfaced **FileNotFoundException**. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records. Downstream tasks were skipped once `compute_rfm` exhausted its retries.

### Historical context
`user_segmentation` has failed **1** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `compute_rfm` and confirm the FileNotFoundException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `compute_rfm` to alert on early signs of `FileNotFoundException`.
",v0
ml_feature_store,2026-05-20,"## Root Cause Analysis — `ml_feature_store`
**DAG run date:** 2026-05-20  |  **Failing task:** `materialize_online`  |  **Generated by:** dataops-assistant v0

### Summary
The `ml_feature_store` run failed at task `materialize_online`. Incoming schema drifted (a referenced column was renamed/dropped), raising an AnalysisException during the transform step.

### Detected failure signals
`AnalysisException`, `cannot resolve column`, `Schema mismatch detected`

### Root cause
The terminal attempt surfaced **AnalysisException**. Incoming schema drifted (a referenced column was renamed/dropped), raising an AnalysisException during the transform step. Downstream tasks were skipped once `materialize_online` exhausted its retries.

### Historical context
`ml_feature_store` has failed **0** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `materialize_online` and confirm the AnalysisException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `materialize_online` to alert on early signs of `AnalysisException`.
",v0
inventory_sync,2026-05-21,"## Root Cause Analysis — `inventory_sync`
**DAG run date:** 2026-05-21  |  **Failing task:** `normalize_sku`  |  **Generated by:** dataops-assistant v0

### Summary
The `inventory_sync` run failed at task `normalize_sku`. Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect.

### Detected failure signals
`SQLTransientConnectionException`, `Connection timed out`, `Read timed out`

### Root cause
The terminal attempt surfaced **SQLTransientConnectionException**. Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect. Downstream tasks were skipped once `normalize_sku` exhausted its retries.

### Historical context
`inventory_sync` has failed **1** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `normalize_sku` and confirm the SQLTransientConnectionException signal.
2. Re-run the DAG — transient infrastructure cause likely cleared.
3. Add/adjust monitoring on `normalize_sku` to alert on early signs of `SQLTransientConnectionException`.
",v0
ml_feature_store,2026-05-21,"## Root Cause Analysis — `ml_feature_store`
**DAG run date:** 2026-05-21  |  **Failing task:** `materialize_online`  |  **Generated by:** dataops-assistant v0

### Summary
The `ml_feature_store` run failed at task `materialize_online`. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.

### Detected failure signals
`FileNotFoundException`, `Path does not exist`, `0 records read from source`

### Root cause
The terminal attempt surfaced **FileNotFoundException**. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records. Downstream tasks were skipped once `materialize_online` exhausted its retries.

### Historical context
`ml_feature_store` has failed **1** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `materialize_online` and confirm the FileNotFoundException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `materialize_online` to alert on early signs of `FileNotFoundException`.
",v0
marketing_attribution,2026-05-23,"## Root Cause Analysis — `marketing_attribution`
**DAG run date:** 2026-05-23  |  **Failing task:** `attribute_revenue`  |  **Generated by:** dataops-assistant v1

### Summary
The `marketing_attribution` run failed at task `attribute_revenue`. Incoming schema drifted (a referenced column was renamed/dropped), raising an AnalysisException during the transform step.

### Detected failure signals
`AnalysisException`, `cannot resolve column`, `Schema mismatch detected`

### Root cause
The terminal attempt surfaced **AnalysisException**. Incoming schema drifted (a referenced column was renamed/dropped), raising an AnalysisException during the transform step. Downstream tasks were skipped once `attribute_revenue` exhausted its retries.

### Historical context
`marketing_attribution` has failed **0** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `attribute_revenue` and confirm the AnalysisException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `attribute_revenue` to alert on early signs of `AnalysisException`.
",v1
customer_360_pipeline,2026-05-24,"## Root Cause Analysis — `customer_360_pipeline`
**DAG run date:** 2026-05-24  |  **Failing task:** `build_profiles`  |  **Generated by:** dataops-assistant v1

### Summary
The `customer_360_pipeline` run failed at task `build_profiles`. A sensor timed out waiting for an upstream dataset partition that never landed, blocking all downstream work.

### Detected failure signals
`UpstreamFailedException`, `Sensor timeout`, `Dependency partition not found`

### Root cause
The terminal attempt surfaced **UpstreamFailedException**. A sensor timed out waiting for an upstream dataset partition that never landed, blocking all downstream work. Downstream tasks were skipped once `build_profiles` exhausted its retries.

### Historical context
`customer_360_pipeline` has failed **1** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `build_profiles` and confirm the UpstreamFailedException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `build_profiles` to alert on early signs of `UpstreamFailedException`.
",v1
inventory_sync,2026-05-24,"## Root Cause Analysis — `inventory_sync`
**DAG run date:** 2026-05-24  |  **Failing task:** `pull_warehouse_api`  |  **Generated by:** dataops-assistant v1

### Summary
The `inventory_sync` run failed at task `pull_warehouse_api`. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.

### Detected failure signals
`FileNotFoundException`, `Path does not exist`, `0 records read from source`

### Root cause
The terminal attempt surfaced **FileNotFoundException**. The upstream source partition for this run date was missing/empty, so the task aborted before processing any records. Downstream tasks were skipped once `pull_warehouse_api` exhausted its retries.

### Historical context
`inventory_sync` has failed **2** time(s) earlier in the last 30 days. This appears to be an isolated/intermittent occurrence in the trailing window.

### Recommended actions
1. Inspect the terminal task log for `pull_warehouse_api` and confirm the FileNotFoundException signal.
2. Apply a targeted fix before re-running; a blind retry will likely fail again.
3. Add/adjust monitoring on `pull_warehouse_api` to alert on early signs of `FileNotFoundException`.
",v1
